"Variant id","Variant title",SKU,Barcode,"Product id","Product title","Product link",Vendor,Price,"Compare at price","Inventory Item ID","Cost per item","Variant Inventory Qty",Published
24861975557,"Single bar",SC01,853982004036,7081393477,"Smooth Caffeinator",https:///products/smooth-caffeinator,"Hazelnuts, Chocolate & Coffee",2.79,"2.79 ",13370365701,,-3091,active
24987192453,"10 Bars",SC10,853982004067,7081393477,"Smooth Caffeinator",https:///products/smooth-caffeinator,"Hazelnuts, Chocolate & Coffee",27.90,"27.90 ",13476294085,,-960,active
31571443653,"Picky Club (10% off)",SC01_PC10,,7081393477,"Smooth Caffeinator",https:///products/smooth-caffeinator,"Hazelnuts, Chocolate & Coffee",2.51,"2.51 ",19698004229,,-52771,active
31571487301,"Picky Club (20% off)",SC01_PC20,,7081393477,"Smooth Caffeinator",https:///products/smooth-caffeinator,"Hazelnuts, Chocolate & Coffee",2.23,"2.23 ",19698047749,,-67658,active
31571501829,"Picky Club (30% off)",SC01_PC30,,7081393477,"Smooth Caffeinator",https:///products/smooth-caffeinator,"Hazelnuts, Chocolate & Coffee",1.95,"1.95 ",19698062277,,-172353,active
24861975621,"Single bar",AFN01,853982004265,7081393541,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts,"Chocolate & Peanut Butter",2.79,"2.79 ",13370365765,,-3601,active
24916520133,"10 Bars",AFN10,853982004272,7081393541,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts,"Chocolate & Peanut Butter",27.90,"27.90 ",13418277317,,-2351,active
31568128389,"Picky Club (10% off)",AFN01_PC10,,7081393541,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts,"Chocolate & Peanut Butter",2.51,"2.51 ",19694718021,,-89413,active
31568318853,"Picky Club (20% off)",AFN01_PC20,,7081393541,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts,"Chocolate & Peanut Butter",2.23,"2.23 ",19694910533,,-115248,active
31568339845,"Picky Club (30% off)",AFN01_PC30,,7081393541,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts,"Chocolate & Peanut Butter",1.95,"1.95 ",19694932165,,-331545,active
39619596779568,"No Gift",NoShirt,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",41714636619824,,-247,active
